Ticker,Gemini,Coinbase,Kraken,Cryptodotcom,Kucoin
BTCUSD,1,0,0,0,0
ETHUSD,1,0,0,0,0
BCHUSD,1,0,0,0,0
LTCUSD,1,0,0,0,0
ZECUSD,1,0,0,0,0
BATUSD,1,0,0,0,0
LINKUSD,1,0,0,0,0
DAIUSD,1,0,0,0,0
OXTUSD,1,0,0,0,0
FILUSD,1,0,0,0,0
AMPUSD,1,0,0,0,0
COMPUSD,1,0,0,0,0
MKRUSD,1,0,0,0,0
ZRXUSD,1,0,0,0,0
KNCUSD,1,0,0,0,0
STORJUSD,1,0,0,0,0
MANAUSD,1,0,0,0,0
AAVEUSD,1,0,0,0,0
SNXUSD,1,0,0,0,0
YFIUSD,1,0,0,0,0
UMAUSD,1,0,0,0,0
BALUSD,1,0,0,0,0
CRVUSD,1,0,0,0,0
RENUSD,1,0,0,0,0
UNIUSD,1,0,0,0,0
ENJUSD,1,0,0,0,0
BNTUSD,1,0,0,0,0
1INCHUSD,1,0,0,0,0
SKLUSD,1,0,0,0,0
GRTUSD,1,0,0,0,0
LRCUSD,1,0,0,0,0
SANDUSD,1,0,0,0,0
CUBEUSD,1,0,0,0,0
LPTUSD,1,0,0,0,0
BONDUSD,1,0,0,0,0
MATICUSD,1,0,0,0,0
INJUSD,1,0,0,0,0
SUSHIUSD,1,0,0,0,0
DOGEUSD,1,0,0,0,0
API3USD,1,0,0,0,0
MIRUSD,1,0,0,0,0
CTXUSD,1,0,0,0,0
ALCXUSD,1,0,0,0,0
ANKRUSD,1,0,0,0,0
FTMUSD,1,0,0,0,0
XTZUSD,1,0,0,0,0
AXSUSD,1,0,0,0,0
USDCUSD,1,0,0,0,0
SLPUSD ,1,0,0,0,0
LUNAUSD,1,0,0,0,0
USTUSD,1,0,0,0,0
MCO2USD,1,0,0,0,0
CVCUSD,1,0,0,0,0
SPELLUSD,1,0,0,0,0
MIMUSD,1,0,0,0,0
GALAUSD,1,0,0,0,0
MCUSD,1,0,0,0,0
ENSUSD,1,0,0,0,0
ELONUSD,1,0,0,0,0
ASHUSD,1,0,0,0,0
RAREUSD,1,0,0,0,0
RADUSD,1,0,0,0,0
QNTUSD,1,0,0,0,0
MASKUSD,1,0,0,0,0
FETUSD,1,0,0,0,0
AUDIOUSD,1,0,0,0,0
NMRUSD,1,0,0,0,0
RLYUSD,1,0,0,0,0
INDEXUSD,1,0,0,0,0
RNDRUSD,1,0,0,0,0
SHIBUSD,1,0,0,0,0
LDOUSD,1,0,0,0,0
KP3RUSD,1,0,0,0,0
TOKEUSD,1,0,0,0,0
SOLUSD,1,0,0,0,0
RAYUSD,1,0,0,0,0
SBRUSD,1,0,0,0,0
APEUSD,1,0,0,0,0
RBNUSD,1,0,0,0,0
FXSUSD,1,0,0,0,0
MPLUSD,1,0,0,0,0
DPIUSD,1,0,0,0,0
LQTYUSD,1,0,0,0,0
LUSDUSD,1,0,0,0,0
FRAXUSD,1,0,0,0,0
GUSDUSD,1,0,0,0,0
ADAUSDT,0,1,0,0,0
LRCUSDT,0,1,0,0,0
REQUSDT,0,1,0,0,0
AXSUSDT,0,1,0,0,0
SUKUUSDT,0,1,0,0,0
TRACUSDT,0,1,0,0,0
CROUSDT,0,1,0,0,0
POLSUSDT,0,1,0,0,0
ATOMUSDT,0,1,0,0,0
ENSUSDT,0,1,0,0,0
FETUSDT,0,1,0,0,0
IMXUSDT,0,1,0,0,0
SPELLUSDT,0,1,0,0,0
LINKUSDT,0,1,0,0,0
BTCUSDT,0,1,0,0,0
ETHUSDT,0,1,0,0,0
DOTUSDT,0,1,0,0,0
DOGEUSDT,0,1,0,0,0
ENJUSDT,0,1,0,0,0
STXUSDT,0,1,0,0,0
AGLDUSDT,0,1,0,0,0
XLMUSDT,0,1,0,0,0
MASKUSDT,0,1,0,0,0
XYOUSDT,0,1,0,0,0
MATICUSDT,0,1,0,0,0
CHZUSDT,0,1,0,0,0
PERPUSDT,0,1,0,0,0
API3USDT,0,1,0,0,0
QNTUSDT,0,1,0,0,0
RLYUSDT,0,1,0,0,0
RNDRUSDT,0,1,0,0,0
ERNUSDT,0,1,0,0,0
TRUUSDT,0,1,0,0,0
SUPERUSDT,0,1,0,0,0
BADGERUSDT,0,1,0,0,0
DIAUSDT,0,1,0,0,0
POWRUSDT,0,1,0,0,0
APEUSDT,0,1,0,0,0
GALAUSDT,0,1,0,0,0
SOLUSDT,0,1,0,0,0
AVAXUSDT,0,1,0,0,0
ICPUSDT,0,1,0,0,0
SHIBUSDT,0,1,0,0,0
CLVUSDT,0,1,0,0,0
ARPAUSDT,0,1,0,0,0
USTUSDT,0,1,0,0,0
AIOZUSDT,0,1,0,0,0
ZENUSDT,0,1,0,0,0
ORNUSDT,0,1,0,0,0
CRPTUSDT,0,1,0,0,0
KRLUSDT,0,1,0,0,0
SUKUUSDT,0,1,0,0,0
